代號,日期,時長,Session type,Topic,Level,Delivery Type,Tag,Recording Availability,Programming Language,Download Video,Download Slides,Download Transcript,Resource_1,Resource_2,主題,內容,講者,標籤,下個主題1,下個主題2,下個主題3,下個主題4,下個主題5,下個主題6,下個主題7,下個主題8,下個主題9,相關1,相關2,相關3,相關4,相關5,相關6,相關7,影片,附註
DEM760,22,15 minutes,Demo,Security,Advanced (300),In Seattle,VS Code,Not recorded,,,,,Resource,,Create secure applications in minutes with VS Code and External ID,Learn how to use the Microsoft Entra External ID extension for Visual Studio Code to create your first External ID application completely within your IDE.  Bootstrap your development with pre-configured sample applications to quickly get you started.,Katherine Legg|Microsoft,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Modern Full-Stack Web Development wit...,Secure your Intelligent Applications ...,Securing Dockerized apps in the Micro...,Build apps from the cloud with Micros...,Empowering Robust Engineering: Visual...,Start building your next app now with...,,This session has ended,"Katherine Legg
Principal Product Manager
Microsoft
Save to backpack"
LAB361,22,30 minutes,Lab,Security,,In Seattle,,Not recorded,,,,,Resource,,Securing Applications with Microsoft Entra ID,"Applications are the backbone of your organization and often have access to information and systems of critical importance.  Learn how you can use identities, authentication, authorization, conditional access and other tools to ensure that application runs securely. Explore how to add it to Microsoft Entra ID, grant access to only resources it should connect to, control which users can work with it and how to ensure it has secure secrets to use for connect with resources using Azure Key Vault.",Robert Stewart|Microsoft,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,The Latest in Windows Security for De...,Secure your Intelligent Applications ...,Secure your AI application transforma...,Securing Dockerized apps in the Micro...,How you can develop a new breed of ap...,,,This session has ended,"Robert Stewart
Security Content Developer
Microsoft
Save to backpack"
LAB372,22,30 minutes,Lab,Windows,,In Seattle,,Not recorded,,,,,Resource,,Learn how to accelerate Stable Diffusion,Join this session for exciting product announcements. Check back on May 21st for more details.,,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,,,,,,,,This session has ended,
LAB350,22,30 minutes,Lab,Copilot,,In Seattle,,Not recorded,,,,,Resource,,Building Plugins for Copilot for Microsoft 365,"In this hands-on lab you will build, deploy, and test a plugin for Microsoft 365 Copilot using a Teams message extension and the Teams Toolkit. First, you’ll test it as a Teams message extension, so you can see what it does even without Copilot. Then, you’ll run it in Copilot for Microsoft 365, where you can try various prompts using combinations of plugin and Microsoft 365 data. Don’t miss this opportunity to learn hands-on how to extend Copilot for Microsoft 365!","Mike Francis|Microsoft,Matteo Pagani|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,Revolutionize Manufacturing with Copi...,Reach 320M+ users in flow of work bui...,Developer deep dive on building plugi...,Developer’s Guide to Customizing Micr...,Build Microsoft Copilot extensions wi...,,This session has ended,"Mike Francis
Cloud Solution Architect
Microsoft
Save to backpackMatteo Pagani
Cloud Solution Architect
Microsoft
Save to backpack"
LAB310,22,30 minutes,Lab,Cloud Platform,,In Seattle,Replatform,Not recorded,,,,,Resource,,Build a Music Recommendation System with Azure Container Apps and AI,"Discover using Azure Container Apps to build a music recommendation service. Learn how AI engineers can process data, handing it off to app engineers for development. Leverage Qdrant vector database add-on for song embeddings. Build microservices for music recommendation using Python and Java. Explore Azure Container Apps' code to cloud pipeline for deploying apps without Dockerfiles. Ideal for those interested in recommendation systems, vector databases, embeddings, or polyglot microservices.","Simon Jakesch|Microsoft,Vyom Nagrani|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,"App innovation in the AI era: cost, b...",Serverless architectures: Effortless ...,Using AI with App Service to deploy d...,Build your own advanced AI solutions ...,Power AI apps and develop rich experi...,Quickly deploy NVIDIA optimized gener...,,This session has ended,"Simon Jakesch
Product Manager & Nasal Lavage Enthusiast
Microsoft
Save to backpackVyom Nagrani
Principal Manager, Product Management
Microsoft
Save to backpack"
BRK165,22,45 minutes,Breakout,Data & Analytics,Foundational (100),Online,Analytics,Recorded,,Video,Slide,,Resource,,Microsoft Fabric: What's new and what's next,"The analytics landscape for data focused application developers is changing fast.  With AI, Real-time analytics, data sources growing exponentially and new tools available daily.  In Microsoft Fabric, data, AI, BI and application development professionals have an integrated platform enabling data source unification, simplified yet feature rich user experience as well as security and governance built in.  Join us to learn and see the latest announcements for Build and what the future holds.","Amir Netz|Microsoft,Arun Ulagaratchagan|Microsoft,Flavien Daussy|McLaren Automotive,Adam Penhaul|McLaren Automotive",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,,,,,,,Extend and enhance your analytics app...,Introducing API for GraphQL and User ...,Unify your data with OneLake and Micr...,Integrating Azure AI and Microsoft Fa...,Accelerate insights with real-time Az...,Reimagine Real-Time Intelligence with...,,,"Amir Netz
Chief Technology Officer of Microsoft Fabric
Microsoft











Save to backpackArun Ulagaratchagan
Corporate Vice President, Azure Data
Microsoft
Save to backpackFlavien Daussy
Senior Data Mining Engineer
McLaren Automotive
Save to backpackAdam Penhaul
Head of Design and Manufacturing Innovation
McLaren Automotive
Save to backpack"
BRK249,22,45 minutes,Breakout,Windows,Advanced (300),Online,Windows on Arm,Recorded,,Video,,Transcript,Resource,,Introducing the Next Generation of Windows on Arm,"The Windows on Arm platform is bringing industry leading performance and experiences to applications. Learn about the exciting new experiences for Arm-powered Windows this year, such as intelligent Windows apps that leverage rich capabilities of the NPU. Get the inside scoop on what Microsoft and our partners have been doing for developers with runtimes, tooling and infrastructure for Arm. Leave this session feeling inspired, with a newfound vision for the platform’s potential.","Ivette Carreras|Microsoft,Jamshed Damkewala|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,,,,,,,Windows-on-Arm ecosystem migration st...,How did we build the Next Generation...,Realize your vision with a guide to b...,Deploy next generation workflows from...,Creating Seamless Cross-Device Experi...,Bring AI experiences to all your Wind...,,,"Ivette Carreras
Principal Software Engineer Manager
Microsoft
Save to backpackJamshed Damkewala
Principal Manager, TPM
Microsoft

Save to backpack"
BRK150,22,45 minutes,Breakout,Copilot,Intermediate (200),Online,Microsoft Copilot,Recorded,Power Fx,Video,Slide,Transcript,Resource,"BRK146: https://aka.ms/BRK146

BRK151: https://aka.ms/BRK151",Developer’s Guide to Customizing Microsoft Copilot,"Kickstart your Build journey in developing Copilot extensions at this essential session. Learn to navigate the development landscape with a focus on customization through plugins, Graph connectors, and your own copilots.  You will also learn when to customize vs. build your own. This foundational breakout is your gateway to maximizing Copilot's potential, paving the way for advanced sessions at Build.","Barnam Bora|Microsoft,Jeremy Thake|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,,Build your own copilot with Microsoft...,Extending Copilot for Sales with Micr...,Reach 320M+ users in flow of work bui...,Developer deep dive on building plugi...,Build Microsoft Copilot extensions wi...,Extending GitHub Copilot,,,"Barnam Bora
Developer Advocacy Leader - Microsoft 365 & Copilot Platform
Microsoft
Save to backpackJeremy Thake
Principal Product Manager Lead
Microsoft
Save to backpack"
BRK128,22,45 minutes,Breakout,Cloud Platform,Advanced (300),Online,Platform Engineering,Recorded,C#,Video,Slide,,Resource,"Learn more about AKS announcemen...: https://aka.ms/aks-build24

Code to cloud with AKS and GitHub: https://aka.ms/code-to-cloud-ebook

Assess your cloud native maturit...: https://aka.ms/cn-survey",Building a connected vehicle and app experience with BMW and Azure,"See how BMW leverages AKS, GitHub, and other Azure services to power their MyBMW app, connecting 13M+ owners to their vehicles in the world’s largest over-the-air (OTA) fleet. BMW will share how they have evolved their cloud architecture to achieve greater scale and performance and how they embrace DevOps by building and deploying across the globe with a large-scale team of developers. Brendan Burns will discuss the future of Kubernetes and how it enables AI innovation.","Brendan Burns|Microsoft,Christian Schmid|BMW,Paul Weber|BMW",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,,Leverage AKS for your enterprise plat...,"App innovation in the AI era: cost, b...",Intelligent Workload Scheduling with ...,Using AI with App Service to deploy d...,Introducing AKS Automatic: The easies...,Build and run intelligent apps with A...,,,"Brendan Burns
CVP Azure cloud-native open source and the Azure management platform
Microsoft
Save to backpackChristian Schmid
Engineering Manager
BMW
Save to backpackPaul Weber
Product Owner
BMW
Save to backpack"
BRK141,22,45 minutes,Breakout,Copilot,Advanced (300),Online,Responsible AI,Recorded,,Video,Slide,,Resource,,Azure AI Studio - Creating and scaling your custom copilots,"Uncover how Azure AI Studio empowers Developers to build multi-agent copilot solutions, aiding in tasks like data analysis, document intelligence, and project planning. Explore tangible customer innovations and learn to orchestrate agents like customized LLMs and web scrapers with retrieval augmented generation capabilities. Discover advanced features such as debugging tools and security measures for developing intelligent, scalable, and safe AI solutions.","Asha Sharma|Microsoft,NBNabila Babar|Microsoft,Hanchi Wang|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,,,,,,,Build your own copilot with Microsoft...,Shaping next-gen development: the fut...,Transforming user experiences with re...,Build sophisticated custom copilots w...,Safeguard your copilot with Azure AI,Building a copilot: Azure AI Studio o...,,,"Asha Sharma
CVP, Head of Product, Microsoft AI Platform
Microsoft

Save to backpackNB
Nabila Babar
Princ PM Manager
Microsoft
Save to backpackHanchi Wang
Software Engineer Manager
Microsoft
Save to backpack"
