日期,類型,主題,連結,內容,講者
"Wednesday, May 22",Demo,Create secure applications in minutes with VS Code and External ID,https://build.microsoft.com/en-US/sessions/c2b14787-f2df-4b37-b719-22b840c0d02a?source=sessions,Learn how to use the Microsoft Entra External ID extension for Visual Studio Code to create your first External ID application completely within your IDE.  Bootstrap your development with pre-configured sample applications to quickly get you started.,Katherine Legg
"Wednesday, May 22",Lab,Securing Applications with Microsoft Entra ID,https://build.microsoft.com/en-US/sessions/1e795dd1-b7d2-419a-a68c-149c306a25ce?source=sessions,"Applications are the backbone of your organization and often have access to information and systems of critical importance.  Learn how you can use identities, authentication, authorization, conditional access and other tools to ensure that application runs securely. Explore how to add it to Microsoft Entra ID, grant access to only resources it should connect to, control which users can work with it and how to ensure it has secure secrets to use for connect with resources using Azure Key Vault.",Robert Stewart
"Wednesday, May 22",Lab,Learn how to accelerate Stable Diffusion,https://build.microsoft.com/en-US/sessions/18b8227d-60fa-493b-9000-c71cdef1af7d?source=sessions,Join this session for exciting product announcements. Check back on May 21st for more details.,Adele Parsons
"Wednesday, May 22",Lab,Building Plugins for Copilot for Microsoft 365,https://build.microsoft.com/en-US/sessions/4727a374-2ea1-45df-b27f-1f3f58cea782?source=sessions,"In this hands-on lab you will build, deploy, and test a plugin for Microsoft 365 Copilot using a Teams message extension and the Teams Toolkit. First, you’ll test it as a Teams message extension, so you can see what it does even without Copilot. Then, you’ll run it in Copilot for Microsoft 365, where you can try various prompts using combinations of plugin and Microsoft 365 data. Don’t miss this opportunity to learn hands-on how to extend Copilot for Microsoft 365!",Mike Francis
"Wednesday, May 22",Lab,Build a Music Recommendation System with Azure Container Apps and AI,https://build.microsoft.com/en-US/sessions/133d8174-a9db-4a98-b869-ee2cba5ada07?source=sessions,"Discover using Azure Container Apps to build a music recommendation service. Learn how AI engineers can process data, handing it off to app engineers for development. Leverage Qdrant vector database add-on for song embeddings. Build microservices for music recommendation using Python and Java. Explore Azure Container Apps' code to cloud pipeline for deploying apps without Dockerfiles. Ideal for those interested in recommendation systems, vector databases, embeddings, or polyglot microservices.",Simon Jakesch
"Wednesday, May 22",Breakout,Microsoft Fabric: What's new and what's next,https://build.microsoft.com/en-US/sessions/e2dadf62-d982-4467-9c5c-fd232d663783?source=sessions,"The analytics landscape for data focused application developers is changing fast.  With AI, Real-time analytics, data sources growing exponentially and new tools available daily.  In Microsoft Fabric, data, AI, BI and application development professionals have an integrated platform enabling data source unification, simplified yet feature rich user experience as well as security and governance built in.  Join us to learn and see the latest announcements for Build and what the future holds.",Amir Netz
"Wednesday, May 22",Breakout,Introducing the Next Generation of Windows on Arm,https://build.microsoft.com/en-US/sessions/9d806202-be61-4b5d-ba0d-59ecfcaf0482?source=sessions,"The Windows on Arm platform is bringing industry leading performance and experiences to applications. Learn about the exciting new experiences for Arm-powered Windows this year, such as intelligent Windows apps that leverage rich capabilities of the NPU. Get the inside scoop on what Microsoft and our partners have been doing for developers with runtimes, tooling and infrastructure for Arm. Leave this session feeling inspired, with a newfound vision for the platform’s potential.",Ivette Carreras
"Wednesday, May 22",Breakout,Developer’s Guide to Customizing Microsoft Copilot,https://build.microsoft.com/en-US/sessions/9ebe1e90-8cdc-41a9-a172-f3246ca85ae0?source=sessions,"Kickstart your Build journey in developing Copilot extensions at this essential session. Learn to navigate the development landscape with a focus on customization through plugins, Graph connectors, and your own copilots.  You will also learn when to customize vs. build your own. This foundational breakout is your gateway to maximizing Copilot's potential, paving the way for advanced sessions at Build.",Barnam Bora
"Wednesday, May 22",Breakout,Building a connected vehicle and app experience with BMW and Azure,https://build.microsoft.com/en-US/sessions/812d376f-56fe-411b-a10c-1faa3c1d80c9?source=sessions,"See how BMW leverages AKS, GitHub, and other Azure services to power their MyBMW app, connecting 13M+ owners to their vehicles in the world’s largest over-the-air (OTA) fleet. BMW will share how they have evolved their cloud architecture to achieve greater scale and performance and how they embrace DevOps by building and deploying across the globe with a large-scale team of developers. Brendan Burns will discuss the future of Kubernetes and how it enables AI innovation.",Brendan Burns
"Wednesday, May 22",Breakout,Azure AI Studio - Creating and scaling your custom copilots,https://build.microsoft.com/en-US/sessions/a2afdc04-a6eb-4079-9f91-25858a588661?source=sessions,"Uncover how Azure AI Studio empowers Developers to build multi-agent copilot solutions, aiding in tasks like data analysis, document intelligence, and project planning. Explore tangible customer innovations and learn to orchestrate agents like customized LLMs and web scrapers with retrieval augmented generation capabilities. Discover advanced features such as debugging tools and security measures for developing intelligent, scalable, and safe AI solutions.",Asha Sharma
